System
Level,Log,Time,User,Event
Info,System,2025/11/03 11:20:40,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/03 11:18:49,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/03 11:18:47,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/03 08:17:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/02 08:17:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/01 17:53:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/01 17:47:40,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/01 17:44:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/01 17:41:38,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/01 17:32:40,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/01 17:29:38,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/11/01 08:17:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/31 08:39:20,huynguyen,User [viethuong] was renamed to [vietvuong].
Info,System,2025/10/31 08:17:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/30 08:17:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/29 11:35:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/29 11:29:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/29 11:23:40,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/29 11:20:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/29 11:14:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/29 11:08:41,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/29 11:06:22,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/29 11:06:19,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/29 09:14:21,huynguyen,User [viethuong] was created.
Info,System,2025/10/29 08:17:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/28 18:50:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/28 18:47:40,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/28 18:44:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/28 18:41:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/28 18:38:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/28 18:32:38,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/28 18:26:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/28 08:17:37,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
